record_id,election_id,riding_id,candidate_id,total_votes,elected
45bf5710-16a4-4dc0-a22d-1ad1b32fd884,42,10004,1,8878,true
b4c9f54d-0af1-47d3-8f91-77f3bdfe5747,42,10004,2,1716,false
6ab24592-9b43-4a3d-a813-3ec0825927ca,42,10004,3,1779,false
36cff333-07ef-4b93-8c14-cd5cdd9d173c,42,35001,4,19374,false
0fe22767-52b8-4902-a64c-2a1b4b4b7ff2,42,35001,5,4630,false
d7549c16-eac8-4d8f-931b-0b8af0c2a01e,42,35001,6,788,false
e2d29bcf-3fd4-4f47-9060-2d4e8f2e4bae,42,35001,7,31458,true
f1b71173-1675-4673-b2f6-89f8d6d04989,42,35001,8,57,false
dabd3706-a5e3-4c4c-a369-66fce29fbc76,43,35001,9,111,false
780ad338-27e7-486b-afa8-3bb12d953768,43,35001,10,15864,false
070e7155-0345-4a2f-a974-19e1afbb5275,43,35001,11,186,false
b24f9bba-96e8-463d-bb9c-6921d74aa07b,43,35001,7,35198,true
bb8f45dc-1fdd-48fd-ab9b-3fb39dd9b5c6,43,35001,12,2040,false
206f4d2a-0e97-4d30-9c5c-eb73cce4ee1f,43,35001,13,7033,false
271e85e3-df6f-4e89-a1b4-dda603f5f933,43,35001,14,588,false
c4dfb0f9-563c-4d89-b9a8-db0fc6314f10,42,35002,24,16516,true
dd5652d4-a753-4eec-911e-7f206355f78e,42,35002,25,927,false
29aec51e-5a31-43d2-a0a8-a44e44202afb,42,35002,26,9820,false
3a951367-2c6e-4ab8-a8e5-209c83910f1a,42,35002,27,14111,false
745e008b-8465-4799-b1ea-7657215df9da,43,35002,28,2192,false
9b62c388-709b-4601-ba2f-8539aa38f139,43,35002,29,125,false
01e514b2-03b9-41d1-a353-1e2cf5e02892,43,35002,30,887,false
87e84850-a4a5-414a-86d5-17a8eab1939d,43,35002,24,16883,true
92985933-f9e6-4aec-bfce-6a1ca9f6b949,43,35002,31,10625,false
d9572d57-777d-4728-858c-f2287b523be3,43,35002,27,9879,false
1a75febe-d951-4a6c-ad22-5c36a9a10ea4,42,35003,32,24132,true
4b75ab64-80fa-41c4-9492-bc604f57abd2,42,35003,38,243,false
790c26fc-1cbb-4da6-a845-13f11ef27c3a,42,35003,39,23039,false
50d25357-9e98-4a0d-8987-bcbe938a7bd4,42,35003,40,2912,false
587a0095-a35e-4c6b-95a7-f412ecc9b9a1,42,35003,41,654,false
5cb3279f-4c8b-4df5-90ba-b4cac5994535,43,35003,32,23568,true
c799093f-3cca-4aca-ac10-922ee2e63123,43,35003,33,3820,false
ea02d2de-cbc5-41b4-a33a-4b3f4733a703,43,35003,34,2154,false
3875176c-2e58-41da-bc5d-edc4722b9f0d,43,35003,35,529,false
dfcf6ae8-f736-45a6-97a4-c3a163f60d53,43,35003,36,530,false
7280fb6b-c2dd-4d0c-aab2-ae5793d29f93,43,35003,37,22508,false
077d6314-7635-4f01-9176-0e23445aa1ce,42,35004,15,22901,true
0102e10a-fba9-4bb1-8624-9fce838c9cb3,42,35004,16,5812,false
e9e7f93d-49f9-468a-9bfd-dd1fc28b5561,42,35004,17,199,false
2b860f7c-3258-4837-94e2-c71ebb02c9a1,42,35004,18,1991,false
c89453c3-06a0-43ff-8f22-34c790bb0f20,42,35004,19,130,false
02b1a483-c86e-41ca-aabb-24aa799b61ae,42,35004,20,18308,false
40efda4d-64c5-4f95-bfb7-8519ab41b4ac,43,35004,15,23765,true
6b8fad27-ddda-4767-b7d7-13d980a177cc,43,35004,18,4716,false
756785e9-8e8f-47d8-9b53-938c74e0e079,43,35004,21,8880,false
9cd8724c-1b36-405e-acb9-f2394f4f1746,43,35004,22,1013,false
97f05614-3040-4243-8635-c5d62d315c88,43,35004,23,15879,false
9af47c76-b6cf-4636-a198-8a3b882e72cb,42,35005,42,188,false
56574fcd-c471-4398-8f53-1061d4490676,42,35005,43,2648,false
6ef230d3-34aa-4bad-8432-fca612306584,42,35005,44,21091,true
3c906d19-d489-4487-a4bd-19d3cffdf589,42,35005,45,401,false
81a13571-051d-4987-805d-e961c97c52a1,42,35005,46,21005,false
6f9b3fcb-a8ab-4b91-a1cd-87c1f1954b3e,42,35005,47,5202,false
d0fe396f-6216-41d9-98bd-e988f2a3eb83,43,35005,48,7972,false
ecaa401d-9d3a-4765-b6e7-987ba7dac926,43,35005,49,16805,false
da9ef57c-d2cf-445c-8c42-a52e34c0de30,43,35005,50,969,false
68b97925-b4c3-46f6-b1bc-5320c9f7edf9,43,35005,51,20981,true
7140dc11-a081-4f0d-8b06-de528e8821cc,43,35005,43,7066,false
9e5d5b03-37f4-489e-b200-de6962ff9ea0,42,35006,52,7001,false
