social_id,twitter_id,instagram_id,facebook_id,youtube_id,snapchat_id,flickr_id,tiktok_id,updated,type_id
1a498d33-290d-4b34-9f31-4e6ee2be3dba,Esme.Owens,Esme.Owens,Esme.Owens,Esme.Owens,Esme.Owens,Esme.Owens,Esme.Owens,2022-03-30 14:27:38.128327,2
fab8e8ca-260a-470c-bd4b-f3672a9759fe,Holly.Russell,Holly.Russell,Holly.Russell,Holly.Russell,Holly.Russell,Holly.Russell,Holly.Russell,2022-03-30 14:27:38.326250,2
2b99fb6c-5ce8-4878-9b9c-4e0ecd2ad5e5,Scarlett.Perry,Scarlett.Perry,Scarlett.Perry,Scarlett.Perry,Scarlett.Perry,Scarlett.Perry,Scarlett.Perry,2022-03-30 14:27:38.418751,2
76a8eeb7-f7b2-40c2-9166-565a3de84003,Niamh.Crawford,Niamh.Crawford,Niamh.Crawford,Niamh.Crawford,Niamh.Crawford,Niamh.Crawford,Niamh.Crawford,2022-03-30 14:27:38.507899,2
bc5e286d-33fc-4132-ada2-2adef97987df,Mirren.Thomas,Mirren.Thomas,Mirren.Thomas,Mirren.Thomas,Mirren.Thomas,Mirren.Thomas,Mirren.Thomas,2022-03-30 14:27:38.597436,2
d992c7a7-25b4-4c54-b1d8-63a235f79130,Grace.Carter,Grace.Carter,Grace.Carter,Grace.Carter,Grace.Carter,Grace.Carter,Grace.Carter,2022-03-30 14:27:38.686944,2
bbac8a13-d7fc-44b8-98ad-da34a1a2fc58,Frankie.Bailey,Frankie.Bailey,Frankie.Bailey,,,,,2022-03-30 14:27:38.777589,2
6ff0ec41-adb7-462b-af0d-63d5dded6773,Adam.Stewart,Adam.Stewart,Adam.Stewart,,,,,2022-03-30 14:27:38.867340,2
594b000c-4cf2-4301-b7c7-a9f4b1c0e0f0,Lewis.Torres,Lewis.Torres,Lewis.Torres,,,,,2022-03-30 14:27:38.957076,2
284deefe-f8be-4e39-add8-7dbe48b79d4e,Luca.White,Luca.White,Luca.White,,,,,2022-03-30 14:27:39.046827,2
9ece987f-c136-4214-ab56-28c1ae603010,Arthur.Davis,Arthur.Davis,Arthur.Davis,,,,,2022-03-30 14:27:39.136571,2
09459297-6f4b-4ee1-940c-e18325f546e8,Robbie.Gonzales,Robbie.Gonzales,Robbie.Gonzales,,,,,2022-03-30 14:27:39.226217,2
f139834e-e634-472b-b3e3-d9a7519b01fe,Lexi.Ramos,Lexi.Ramos,Lexi.Ramos,,,,,2022-03-30 14:27:39.315692,2
372944d5-2ec0-40cc-838d-c79612c175e6,Mia.Ford,Mia.Ford,Mia.Ford,,,,,2022-03-30 14:27:39.404830,2
6d81d85f-702c-408a-af56-8022d69cb056,Mollie.Jones,Mollie.Jones,Mollie.Jones,,,,,2022-03-30 14:27:39.494097,2
106465cc-5e77-446a-b5a4-c19914e3d126,Thea.King,Thea.King,Thea.King,,,,,2022-03-30 14:27:39.583275,2
86b7cdca-c5e4-4ce9-995c-c7e01c71c597,CHPCanada,,CHP.ca.Canada,CHPCanada,,,,2022-03-10 06:10:43.812779,1
389ab942-23f8-4111-9bf1-3d6f4b114b0f,canadiangreens,thegreenparty_canada,GreenPartyofCanada,canadiangreenparty,,,,2022-03-10 06:10:43.812779,1
47c2e8fc-68bf-49e7-a265-5a5eabf9596b,natcitalliance,natcitalliance,NationalCitizensAlliance,UCpcmf6tRk1muXlkTI4aGIIA,,,,2022-03-10 06:10:43.812779,1
37ea7d17-6499-48aa-9a47-f031e6d23682,mlpcpmlc,,MLPCPMLC,,,,,2022-03-10 06:10:43.812779,1
0f99f662-9ba8-4d3a-8b9a-fc22e70b0c4f,CentristCa,centrist_party_canada,CentristCA,centristpartyparticentriste,,,,2022-03-10 06:10:43.812779,1
298daa0d-3f4f-412f-8f75-df626edb209a,LibertarianCDN,,,,,,,2022-03-10 06:10:43.812779,1
a49aed4f-799f-49d4-87a0-2869aa31496c,,,partipatriote,UCJItW066pz6UquCWBKupg7w,,,,2022-03-10 06:10:43.812779,1
975b9088-b91d-4923-bf40-a90198848ba1,ndp,jagmeetsingh,NDP.NPD,NDPCanada,,ndpcanada,,2022-03-10 06:10:43.812779,1
0c19e1bb-e2f9-49da-8ff4-16b309505373,ComPartyCanada,,CommunistPartyOfCanada,cpcupdates,,,,2022-03-10 06:10:43.812779,1
777df7e7-da09-4984-9b85-168ce453d8e1,maverick_party,maverick_party,MaverickParty,UClDR0cuGgfDkfhLUD0OytSg,,,,2022-03-10 06:10:43.812779,1
efa59d7b-eea5-414e-8506-eb0e7db371ac,liberal_party,liberalca,LiberalCA,liberalvideo,liberalca,,,2022-03-10 06:10:43.812779,1
913318d3-fbaa-4dd5-b4d7-e3308ed50429,blocquebecois,blocquebecois,blocquebecois,BlocQuebecois,,,,2022-03-10 06:10:43.812779,1
4d49f990-fdfb-4e06-857c-c5929816554c,CorRhino,corrhino,PartiRhino,,,,,2022-03-10 06:10:43.812779,1
fe401dd5-5cb2-465c-a796-a7e62476d62c,peoplespca,peoplespca,peoplespca,UCMR4SQfGkEoiNfyaG_22Baw,,,,2022-03-10 06:10:43.812779,1
43668387-6abc-49c5-b0c4-3f9e241a1ffc,AnimalProtectCA,animalprotectionparty,AnimalProtectionParty,aaevoffice,,,,2022-03-10 06:10:43.812779,1
4e9a58f7-e345-4703-8846-92fb288afaef,CPC_HQ,cpc_hq,cpcpcc,cpcpcc,,,,2022-03-10 06:10:43.812779,1
46c24c52-0d9e-43bc-9a3d-278478c6ef46,Charlotte.Coleman,Charlotte.Coleman,Charlotte.Coleman,,,,,2022-03-30 14:27:39.672354,2
9db9b851-033b-42cc-89bc-8984a7f85c86,Amber.Jenkins,Amber.Jenkins,Amber.Jenkins,,,,,2022-03-30 14:27:39.761333,2
db7b1382-ae85-4201-8612-b67cd1e4bdca,Freddie.Evans,Freddie.Evans,Freddie.Evans,,,,,2022-03-30 14:27:39.849921,2
9c7d10bc-d055-4c4f-9856-104931bb475f,Samuel.Nguyen,Samuel.Nguyen,Samuel.Nguyen,,,,,2022-03-30 14:27:39.939371,2
720963fe-4296-47c3-85c7-49ed5bf7d57f,Leon.Ellis,Leon.Ellis,Leon.Ellis,,,,,2022-03-30 14:27:40.050822,2
eab2564e-a1a4-4bb8-8e58-777338cfc778,Louie.Gordon,Louie.Gordon,Louie.Gordon,,,,,2022-03-30 14:27:40.140912,2
b431a5c2-be81-4f59-b699-e17fca8eeca2,Ellis.Perry,Ellis.Perry,Ellis.Perry,,,,,2022-03-30 14:27:40.229705,2
23ba9182-32c3-457d-b684-27d27778c7bb,Thomas.Adams,Thomas.Adams,Thomas.Adams,,,,,2022-03-30 14:27:40.318202,2
6aa376b9-518f-4f0f-98bd-d7308ef0b08d,Anna.Murray,Anna.Murray,Anna.Murray,Anna.Murray,,,,2022-03-30 14:27:40.406699,2
aea0712a-44ea-42cf-82e7-2c36e128ffa2,Poppy.Cruz,Poppy.Cruz,Poppy.Cruz,Poppy.Cruz,,,,2022-03-30 14:27:40.495959,2
fc74b684-0b8e-4dba-a7eb-ff5179686c89,Lilly.Harrison,Lilly.Harrison,Lilly.Harrison,Lilly.Harrison,,,,2022-03-30 14:27:40.585660,2
0b688724-ce66-4015-8f8a-a25924da5361,Ruby.Powell,Ruby.Powell,Ruby.Powell,Ruby.Powell,,,,2022-03-30 14:27:40.674031,2
